generating boards
board:
/-J----\
|      |
Y RR   |
|      J
|      |
|      |
|      |
\------/

2cars: 1, 3cars: 5
partition ids: 6+0
generating winners... 
added idhash 881583612, partitions count: 1
added idhash 881586350, partitions count: 2
added idhash 881583686, partitions count: 3
added idhash 881583614, partitions count: 4
added idhash 881586424, partitions count: 5
added idhash 881586352, partitions count: 6
added idhash 881583688, partitions count: 7
added idhash 877838028, partitions count: 8
added idhash 877835364, partitions count: 9
added idhash 877835292, partitions count: 10
added idhash 877835290, partitions count: 11
added idhash 877838102, partitions count: 12
added idhash 877838030, partitions count: 13
added idhash 877835366, partitions count: 14
added idhash 877838104, partitions count: 15
added idhash 742898436, partitions count: 16
added idhash 742895772, partitions count: 17
added idhash 742895700, partitions count: 18
added idhash 742895698, partitions count: 19
added idhash 742898510, partitions count: 20
added idhash 742898438, partitions count: 21
added idhash 742895774, partitions count: 22
added idhash 742898512, partitions count: 23
added idhash 739150188, partitions count: 24
added idhash 739150116, partitions count: 25
added idhash 739150114, partitions count: 26
added idhash 739147452, partitions count: 27
added idhash 739147450, partitions count: 28
added idhash 739147378, partitions count: 29
added idhash 739147376, partitions count: 30
added idhash 739150190, partitions count: 31
added idhash 675428714, partitions count: 32
added idhash 675428642, partitions count: 33
added idhash 675428640, partitions count: 34
added idhash 675425978, partitions count: 35
added idhash 675425976, partitions count: 36
added idhash 675425904, partitions count: 37
added idhash 675425902, partitions count: 38
added idhash 675428716, partitions count: 39
added idhash 669806233, partitions count: 40
added idhash 669806231, partitions count: 41
added idhash 669806159, partitions count: 42
added idhash 669806157, partitions count: 43
added idhash 669803495, partitions count: 44
added idhash 669803493, partitions count: 45
added idhash 669803421, partitions count: 46
added idhash 669803419, partitions count: 47
added idhash 669804864, partitions count: 48
added idhash 814116554, partitions count: 49
added idhash 814113890, partitions count: 50
added idhash 814113818, partitions count: 51
added idhash 814113816, partitions count: 52
added idhash 814116628, partitions count: 53
added idhash 814116556, partitions count: 54
added idhash 814113892, partitions count: 55
added idhash 814116630, partitions count: 56
added idhash 808494145, partitions count: 57
added idhash 808494073, partitions count: 58
added idhash 808494071, partitions count: 59
added idhash 808491409, partitions count: 60
added idhash 808491407, partitions count: 61
added idhash 808491335, partitions count: 62
added idhash 808491333, partitions count: 63
added idhash 808494147, partitions count: 64
max total memory: 111MB
added idhash 808495516, partitions count: 65
added idhash 808492702, partitions count: 66
added idhash 808492778, partitions count: 67
added idhash 808492776, partitions count: 68
added idhash 808492704, partitions count: 69
added idhash 812242393, partitions count: 70
added idhash 812239729, partitions count: 71
added idhash 812239657, partitions count: 72
added idhash 812239655, partitions count: 73
added idhash 812242467, partitions count: 74
added idhash 812242395, partitions count: 75
added idhash 812239731, partitions count: 76
added idhash 812243836, partitions count: 77
added idhash 812243764, partitions count: 78
added idhash 812241100, partitions count: 79
added idhash 812241024, partitions count: 80
added idhash 812241098, partitions count: 81
added idhash 812241026, partitions count: 82
added idhash 812242469, partitions count: 83
added idhash 812243762, partitions count: 84
added idhash 812239692, partitions count: 85
added idhash 812239656, partitions count: 86
added idhash 812242430, partitions count: 87
added idhash 812242394, partitions count: 88
added idhash 812239694, partitions count: 89
added idhash 812239658, partitions count: 90
added idhash 812239766, partitions count: 91
added idhash 812239730, partitions count: 92
added idhash 812242432, partitions count: 93
added idhash 812242504, partitions count: 94
added idhash 812242468, partitions count: 95
added idhash 812242396, partitions count: 96
added idhash 812239768, partitions count: 97
added idhash 812239732, partitions count: 98
added idhash 808495514, partitions count: 99
added idhash 808495442, partitions count: 100
added idhash 808495440, partitions count: 101
added idhash 808494108, partitions count: 102
added idhash 808494072, partitions count: 103
added idhash 808491444, partitions count: 104
added idhash 808491372, partitions count: 105
added idhash 808491336, partitions count: 106
added idhash 808491408, partitions count: 107
added idhash 808491370, partitions count: 108
added idhash 808491334, partitions count: 109
added idhash 808494110, partitions count: 110
added idhash 808494182, partitions count: 111
added idhash 808494146, partitions count: 112
added idhash 808494074, partitions count: 113
added idhash 808491446, partitions count: 114
added idhash 808491410, partitions count: 115
added idhash 808494184, partitions count: 116
added idhash 808494148, partitions count: 117
max total memory: 155MB
max total memory: 156MB
added idhash 673554553, partitions count: 118
added idhash 673554481, partitions count: 119
added idhash 673554479, partitions count: 120
added idhash 673551817, partitions count: 121
added idhash 673551815, partitions count: 122
added idhash 673551743, partitions count: 123
added idhash 673551741, partitions count: 124
added idhash 673554555, partitions count: 125
added idhash 673555924, partitions count: 126
added idhash 673553110, partitions count: 127
added idhash 673553186, partitions count: 128
added idhash 673553184, partitions count: 129
added idhash 673553112, partitions count: 130
added idhash 673555922, partitions count: 131
added idhash 673555850, partitions count: 132
max total memory: 246MB
added idhash 673555848, partitions count: 133
added idhash 673554516, partitions count: 134
added idhash 673554480, partitions count: 135
added idhash 673551852, partitions count: 136
added idhash 673551780, partitions count: 137
added idhash 673551744, partitions count: 138
added idhash 673551816, partitions count: 139
added idhash 673551778, partitions count: 140
added idhash 673551742, partitions count: 141
added idhash 673554518, partitions count: 142
added idhash 673554590, partitions count: 143
added idhash 673554554, partitions count: 144
added idhash 673554482, partitions count: 145
added idhash 673551854, partitions count: 146
added idhash 673551818, partitions count: 147
added idhash 673554592, partitions count: 148
added idhash 673554556, partitions count: 149
added idhash 669807602, partitions count: 150
added idhash 669804788, partitions count: 151
added idhash 669804862, partitions count: 152
added idhash 669804790, partitions count: 153
added idhash 669807600, partitions count: 154
added idhash 669807528, partitions count: 155
added idhash 669806196, partitions count: 156
added idhash 669806268, partitions count: 157
added idhash 669806232, partitions count: 158
added idhash 669806160, partitions count: 159
added idhash 669806194, partitions count: 160
added idhash 669806158, partitions count: 161
added idhash 669803532, partitions count: 162
added idhash 669803496, partitions count: 163
added idhash 669803458, partitions count: 164
added idhash 669803494, partitions count: 165
added idhash 669803456, partitions count: 166
added idhash 669803420, partitions count: 167
added idhash 669806270, partitions count: 168
added idhash 669806234, partitions count: 169
added idhash 669803422, partitions count: 170
added idhash 669807526, partitions count: 171
added idhash 669803530, partitions count: 172
done
172 partitions, 799180 winners, with avg. 4646 winners / partition

generating partition #0
idhash 669806268, starting with 600 winners (0%)... ...................reached fixpoint... hardest is 19 moves, total 2602 boards, candidate 0 boards, time: 0s
/-J----\
|     A|
Y B RRA|
| B   AJ
|CB DDD|
|CEEEFF|
|C     |
\------/


generating partition #1
idhash 675428640, starting with 272 winners (0%)... ..........reached fixpoint... hardest is 10 moves, total 722 boards, candidate 0 boards, time: 0s
/-J----\
|A    B|
YARRCCB|
|A    BJ
|DDDEF |
|   EF |
|   EF |
\------/


generating partition #2
idhash 669806270, starting with 2217 winners (0%)... ...................reached fixpoint... hardest is 19 moves, total 11258 boards, candidate 0 boards, time: 0s
/-J----\
|   A  |
Y   ARR|
|   A  J
|B  CCC|
|BDDDEE|
|B  FFF|
\------/


generating partition #3
idhash 673554590, starting with 94 winners (0%)... ......reached fixpoint... hardest is 6 moves, total 220 boards, candidate 0 boards, time: 0s
/-J----\
|A     |
YARRBBB|
|A  CCCJ
|DDD   |
|EEEFF |
|      |
\------/


generating partition #4
idhash 673551780, starting with 814 winners (0%)... ....reached fixpoint... hardest is 4 moves, total 1404 boards, candidate 0 boards, time: 0s
/-J----\
|A     |
YARRBBB|
|A     J
|    CD|
|EE  CD|
| FFFCD|
\------/


generating partition #5
idhash 675428642, starting with 1182 winners (0%)... ..........reached fixpoint... hardest is 10 moves, total 3071 boards, candidate 0 boards, time: 0s
/-J----\
|A    B|
YARRCCB|
|A    BJ
|DDDE  |
|   E  |
|FFFE  |
\------/


generating partition #6
idhash 673551778, starting with 384 winners (0%)... ....reached fixpoint... hardest is 4 moves, total 644 boards, candidate 0 boards, time: 0s
/-J----\
|A     |
YARRBBB|
|A     J
|   CDE|
|FF CDE|
|   CDE|
\------/


generating partition #7
idhash 812242432, starting with 1080 winners (0%)... .....reached fixpoint... hardest is 5 moves, total 1560 boards, candidate 0 boards, time: 0s
/-J----\
|A  BBB|
YARRCCC|
|A     J
|DDD   |
|EE    |
|   FFF|
\------/


generating partition #8
idhash 669803530, starting with 180 winners (0%)... ........reached fixpoint... hardest is 8 moves, total 512 boards, candidate 0 boards, time: 0s
/-J----\
|A     |
YA RRB |
|ACCCB J
|    BD|
|EEEFFD|
|     D|
\------/


generating partition #9
